Series ID,Year,Period,Label,Value
LASST110000000000003,2018,M01,2018 Jan,5.8
LASST110000000000003,2018,M02,2018 Feb,5.8
LASST110000000000003,2018,M03,2018 Mar,5.8
LASST110000000000003,2018,M04,2018 Apr,5.8
LASST110000000000003,2018,M05,2018 May,5.7
LASST110000000000003,2018,M06,2018 Jun,5.7
LASST110000000000003,2018,M07,2018 Jul,5.7
LASST110000000000003,2018,M08,2018 Aug,5.6
LASST110000000000003,2018,M09,2018 Sep,5.6
LASST110000000000003,2018,M10,2018 Oct,5.6
LASST110000000000003,2018,M11,2018 Nov,5.7
LASST110000000000003,2018,M12,2018 Dec,5.7
LASST110000000000003,2019,M01,2019 Jan,5.8
LASST110000000000003,2019,M02,2019 Feb,5.8
LASST110000000000003,2019,M03,2019 Mar,5.7
LASST110000000000003,2019,M04,2019 Apr,5.6
LASST110000000000003,2019,M05,2019 May,5.5
LASST110000000000003,2019,M06,2019 Jun,5.4
LASST110000000000003,2019,M07,2019 Jul,5.4
LASST110000000000003,2019,M08,2019 Aug,5.3
LASST110000000000003,2019,M09,2019 Sep,5.3
LASST110000000000003,2019,M10,2019 Oct,5.3
LASST110000000000003,2019,M11,2019 Nov,5.3
LASST110000000000003,2019,M12,2019 Dec,5.3
LASST110000000000003,2020,M01,2020 Jan,5.2
LASST110000000000003,2020,M02,2020 Feb,5.1
LASST110000000000003,2020,M03,2020 Mar,6.0
LASST110000000000003,2020,M04,2020 Apr,11.7
LASST110000000000003,2020,M05,2020 May,8.8
LASST110000000000003,2020,M06,2020 Jun,8.7
LASST110000000000003,2020,M07,2020 Jul,8.5
LASST110000000000003,2020,M08,2020 Aug,8.6
LASST110000000000003,2020,M09,2020 Sep,9.0
LASST110000000000003,2020,M10,2020 Oct,8.3
LASST110000000000003,2020,M11,2020 Nov,7.5
